Diagnostico_Codigo;Diagnostico_Desc
I828;EMBOLIA Y TROMBOSIS DE OTRAS VENAS ESPECIFICADAS
K839;ENFERMEDAD DE LAS VÍAS BILIARES, NO ESPECIFICADA
R55X;SÍNCOPE Y COLAPSO
R560;CONVULSIONES FEBRILES
D161;TUMOR BENIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR
F528;OTRAS DISFUNCIONES SEXUALES, NO OCASIONADAS POR TRASTORNO NI POR ENFERMEDAD ORGÁNICOS
O48X;EMBARAZO PROLONGADO
N202;CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER
N492;TRASTORNOS INFLAMATORIOS DEL ESCROTO
D410;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RIÑÓN
D467;OTROS SÍNDROMES MIELODISPLÁSICOS
J458;ASMA MIXTA
M489;ESPONDILOPATÍA, NO ESPECIFICADA
G959;ENFERMEDAD DE LA MÉDULA ESPINAL, NO ESPECIFICADA
O420;RUPTURA PREMATURA DE LAS MEMBRANAS, E INICIO DEL TRABAJO DE PARTO DENTRO DE LAS 24 HORAS
L930;LUPUS ERITEMATOSO DISCOIDE
K628;OTRAS ENFERMEDADES ESPECIFICADAS DEL ANO Y DEL RECTO
L80X;VITÍLIGO
H814;VÉRTIGO DE ORIGEN CENTRAL
Q211;DEFECTO DEL TABIQUE AURICULAR
K570;ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO
N19X;INSUFICIENCIA RENAL NO ESPECIFICADA
I159;HIPERTENSIÓN SECUNDARIA, NO ESPECIFICADA
R073;OTROS DOLORES EN EL PECHO
H169;QUERATITIS, NO ESPECIFICADA
K299;GASTRODUODENITIS, NO ESPECIFICADA
S649;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA MUÑECA Y DE LA MANO
R061;ESTRIDOR
N111;PIELONEFRITIS CRÓNICA OBSTRUCTIVA
C222;HEPATOBLASTOMA
T925;SECUELAS DE TRAUMATISMO DE TENDÓN Y MÚSCULO DE MIEMBRO SUPERIOR
E102;DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES RENALES
Z016;EXAMEN RADIOLÓGICO, NO CLASIFICADO EN OTRA PARTE
H46X;NEURITIS ÓPTICA
K116;MUCOCELE DE GLÁNDULA SALIVAL
R522;OTRO DOLOR CRÓNICO
K35X;APENDICITIS AGUDA
I678;OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS
N903;DISPLASIA DE LA VULVA, NO ESPECIFICADA
K610;ABSCESO ANAL
I250;ENFERMEDAD CARDIOVASCULAR ATEROSCLERÓTICA, ASÍ DESCRITA
T252;QUEMADURA DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO
H218;OTROS TRASTORNOS ESPECIFICADOS DEL IRIS Y DEL CUERPO CILIAR
P365;SEPSIS DEL RECIÉN NACIDO DEBIDA A ANAEROBIOS
S460;TRAUMATISMO DEL TENDÓN DEL MANGUITO ROTATORIO DEL HOMBRO
N18X;INSUFICIENCIA RENAL CRONICA
C494;TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN
D383;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL MEDIASTINO
S333;LUXACIÓN DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA COLUMNA LUMBAR Y DE LA PELVIS
T831;COMPLICACIÓN MECÁNICA DE OTROS DISPOSITIVOS E IMPLANTES URINARIOS
S841;TRAUMATISMO DEL NERVIO PERONEO A NIVEL DE LA PIERNA
S731;ESGUINCES Y TORCEDURAS DE LA CADERA
M859;TRASTORNO DE LA DENSIDAD Y DE LA ESTRUCTURA ÓSEAS, NO ESPECIFICADO
C444;TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO
N925;OTRAS MENSTRUACIONES IRREGULARES ESPECIFICADAS
C249;TUMOR MALIGNO DE LAS VÍAS BILIARES, PARTE NO ESPECIFICADA
S524;FRACTURA DE LA DIÁFISIS DEL CÚBITO Y DEL RADIO
O100;HIPERTENSIÓN ESENCIAL PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO
C402;TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR
C793;TUMOR MALIGNO SECUNDARIO DEL ENCÉFALO Y DE LAS MENINGES CEREBRALES
C917;OTRAS LEUCEMIAS LINFOIDES
H547;DISMINUCIÓN DE LA AGUDEZA VISUAL, SIN ESPECIFICACIÓN
N859;TRASTORNO NO INFLAMATORIO DEL ÚTERO, NO ESPECIFICADO
K591;DIARREA FUNCIONAL
J011;SINUSITIS FRONTAL AGUDA
M530;SÍNDROME CERVICOCRANEAL
O623;TRABAJO DE PARTO PRECIPITADO
S410;HERIDA DEL HOMBRO
C480;TUMOR MALIGNO DEL RETROPERITONEO
N432;OTROS HIDROCELES
G952;COMPRESIÓN MEDULAR, NO ESPECIFICADA
N600;QUISTE SOLITARIO DE LA MAMA
I879;TRASTORNO VENOSO, NO ESPECIFICADO
S663;TRAUMATISMO DEL TENDÓN Y MÚSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DE LA MUÑECA Y DE LA MANO
J370;LARINGITIS CRÓNICA
J383;OTRAS ENFERMEDADES DE LAS CUERDAS VOCALES
D036;MELANOMA IN SITU DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
L024;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DE MIEMBRO
S869;TRAUMATISMO DE TENDÓN Y MÚSCULO NO ESPECIFICADO A NIVEL DE LA PIERNA
H918;OTRAS HIPOACUSIAS ESPECIFICADAS
N949;AFECCIONES NO ESPECIFICADAS ASOCIADAS CON LOS ÓRGANOS GENITALES FEMENINOS Y EL CICLO MENSTRUAL
P21X;ASFIXIA DEL NACIMIENTO
T889;COMPLICACIONES NO ESPECIFICADAS DE LA ATENCIÓN MÉDICA Y QUIRÚRGICA
Q550;AUSENCIA Y APLASIA DEL TESTÍCULO
S320;FRACTURA DE VÉRTEBRA LUMBAR
E780;HIPERCOLESTEROLEMIA PURA
J399;ENFERMEDAD DE LAS VÍAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA
D211;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
N908;OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DE LA VULVA Y DEL PERINEO
K440;HERNIA DIAFRAGMÁTICA CON OBSTRUCCIÓN, SIN GANGRENA
N830;QUISTE FOLICULAR DEL OVARIO
I831;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON INFLAMACIÓN
M203;OTRAS DEFORMIDADES DEL HALLUX (ADQUIRIDAS)
K37;APENDICITIS, NO ESPECIFICADA
D219;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS, DE SITIO NO ESPECIFICADO
K279;ULCERA PÉPTICA, NO ESPECIFICADA COMO AGUDA NI CRÓNICA, SIN HEMORRAGIA NI PERFORACIÓN
C451;MESOTELIOMA DEL PERITONEO
J358;OTRAS ENFERMEDADES CRÓNICAS DE LAS AMÍGDALAS Y DE LAS ADENOIDES
S501;CONTUSIÓN DE OTRAS PARTES DEL ANTEBRAZO Y DE LAS NO ESPECIFICADAS
D369;TUMOR BENIGNO DE SITIO NO ESPECIFICADO
M758;OTRAS LESIONES DEL HOMBRO
T828;OTRAS COMPLICACIONES DE DISPOSITIVOS PROTÉSICOS, IMPLANTES E INJERTOS CARDIOVASCULARES
O000;EMBARAZO ABDOMINAL
S933;LUXACIÓN DE OTROS SITIOS Y LOS NO ESPECIFICADOS DEL PIE
D508;OTRAS ANEMIAS POR DEFICIENCIA DE HIERRO
Z369;PESQUISA PRENATAL, SIN OTRA ESPECIFICACIÓN
T019;HERIDAS MÚLTIPLES, NO ESPECIFICADAS
C519;TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA
R030;LECTURA ELEVADA DE LA PRESIÓN SANGUÍNEA, SIN DIAGNÓSTICO DE HIPERTENSIÓN
Z357;SUPERVISIÓN DE EMBARAZO DE ALTO RIESGO DEBIDO A PROBLEMAS SOCIALES
W440;CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN VIVIENDA
J101;INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, DEBIDA A  VIRUS DE LA INFLUENZA IDENTIFICADO
K403;HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCIÓN, SIN GANGRENA
T242;QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE
L578;OTROS CAMBIOS DE LA PIEL DEBIDOS A EXPOSICIÓN CRÓNICA A RADIACIÓN NO IONIZANTE
M532;INESTABILIDAD DE LA COLUMNA VERTEBRAL
Z21;ESTADO DE INFECCIÓN ASINTOMÁTICA POR EL VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH]
D201;TUMOR BENIGNO DEL PERITONEO
Z308;OTRAS ATENCIONES ESPECIFICADAS PARA LA ANTICONCEPCIÓN
M205;OTRAS DEFORMIDADES (ADQUIRIDAS) DEL (DE LOS) DEDO(S) DEL PIE
H661;OTITIS MEDIA TUBOTIMPÁNICA SUPURATIVA CRÓNICA
S630;LUXACIÓN DE LA MUÑECA
Q038;OTROS HIDROCÉFALOS CONGÉNITOS
O479;FALSO TRABAJO DE PARTO, SIN OTRA ESPECIFICACIÓN
R900;LESIÓN QUE OCUPA EL ESPACIO INTRACRANEAL
K810;COLECISTITIS AGUDA
S818;HERIDA DE OTRAS PARTES DE LA PIERNA
R260;MARCHA ATÁXICA
N914;OLIGOMENORREA SECUNDARIA
M725;FASCITIS, NO CLASIFICADA EN OTRA PARTE
F103;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL, ESTADO DE ABSTINENCIA
M518;OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES M51.9TRASTORNO DE LOS DISCOS INTERVERTEBRALES, NO ESPECIFICADO
M432;OTRAS FUSIONES DE LA COLUMNA VERTEBRAL
M940;SÍNDROME DE LA ARTICULACIÓN CONDROCOSTAL [TIETZE]
C419;TUMOR MALIGNO DEL HUESO Y DEL CARTÍLAGO ARTICULAR, NO ESPECIFICADO
L662;FOLICULITIS DECALVANTE
J960;INSUFICIENCIA RESPIRATORIA AGUDA
S599;TRAUMATISMO NO ESPECIFICADO DEL ANTEBRAZO
I516;ENFERMEDAD CARDIOVASCULAR, NO ESPECIFICADA
G510;PARÁLISIS DE BELL
J20X;BRONQUITIS AGUDA
D179;TUMOR BENIGNO LIPOMATOSO, DE SITIO NO ESPECIFICADO
E782;HIPERLIPIDEMIA MIXTA
R35X;POLIURIA
I309;PERICARDITIS AGUDA, NO ESPECIFICADA
M478;OTRAS ESPONDILOSIS
S651;TRAUMATISMO DE LA ARTERIA RADIAL A NIVEL DE LA MUÑECA Y DE LA MANO
D044;CARCINOMA IN SITU DE LA PIEL DEL CUERO CABELLUDO Y CUELLO
Z921;HISTORIA PERSONAL DE USO (PRESENTE) DE ANTICOAGULANTES POR LARGO TIEMPO
L97X;ULCERA DE MIEMBRO INFERIOR, NO CLASIFICADA EN OTRA PARTE
D051;CARCINOMA IN SITU INTRACANALICULAR
Z488;OTROS CUIDADOS ESPECIFICADOS POSTERIORES A LA CIRUGÍA
D162;TUMOR BENIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR
M161;OTRAS COXARTROSIS PRIMARIAS
N601;MASTOPATÍA QUÍSTICA DIFUSA
L661;LIQUEN PLANO PILARIS
D489;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO, DE SITIO NO ESPECIFICADO
C148;LESIÓN DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE
W449;CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN LUGAR NO ESPECIFICADO
Q105;ESTENOSIS Y ESTRECHEZ CONGÉNITAS DEL CONDUCTO LAGRIMAL
L418;OTRAS PARAPSORIASIS
C811;ENFERMEDAD DE HODGKIN CON ESCLEROSIS NODULAR
I671;ANEURISMA CEREBRAL, SIN RUPTURA
H508;OTROS ESTRABISMOS ESPECIFICADOS
D331;TUMOR BENIGNO DEL ENCÉFALO, INFRATENTORIAL
Q828;OTRAS MALFORMACIONES CONGÉNITAS DE LA PIEL, ESPECIFICADAS
J351;HIPERTROFIA DE LAS AMÍGDALAS
L719;ROSÁCEA, NO ESPECIFICADA
O234;INFECCIÓN NO ESPECIFICADA DE LAS VÍAS URINARIAS EN EL EMBARAZO
G467;OTROS SÍNDROMES LACUNARES (I60-I67+)
S997;TRAUMATISMOS MÚLTIPLES DEL PIE Y DEL TOBILLO
S849;TRAUMATISMO DE NERVIO NO ESPECIFICADO A NIVEL DE LA PIERNA
N301;CISTITIS INTERSTICIAL (CRÓNICA)
H660;OTITIS MEDIA SUPURATIVA AGUDA
B34X;INFECCIÓN VIRAL DE SITIO NO ESPECIFICADO
S300;CONTUSIÓN DE LA REGIÓN LUMBOSACRA Y DE LA PELVIS
K560;ILEO PARALÍTICO
I843;HEMORROIDES EXTERNAS TROMBOSADAS
H000;ORZUELO Y OTRAS INFLAMACIONES PROFUNDAS DEL PÁRPADO
K603;FÍSTULA ANAL
K710;ENFERMEDAD TÓXICA DEL HÍGADO, CON COLESTASIS
S628;FRACTURA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO
S942;TRAUMATISMO DEL NERVIO PERONEAL PROFUNDO A NIVEL DEL PIE Y DEL TOBILLO
P612;ANEMIA DE LA PREMATURIDAD
M997;ESTENOSIS DE LOS AGUJEROS INTERVERTEBRALES POR TEJIDO CONJUNTIVO O POR DISCO INTERVERTEBRAL
G551;COMPRESIONES DE LAS RAÍCES Y PLEXOS NERVIOSOS EN TRASTORNOS DE LOS DISCOS INTERVERTEBRALES (M50-M51+)
S519;HERIDA DEL ANTEBRAZO, PARTE NO ESPECIFICADA
S327;FRACTURAS MÚLTIPLES DE LA COLUMNA LUMBAR Y DE LA PELVIS
F333;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SÍNTOMAS PSICÓTICOS
N912;AMENORREA, SIN OTRA ESPECIFICACIÓN
K122;CELULITIS Y ABCESO DE BOCA
V392;OCUPANTE NO ESPECIFICADO DE VEHÍCULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE  MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO
G20X;ENFERMEDAD DE PARKINSON
N133;OTRAS HIDRONEFROSIS Y LAS NO ESPECIFICADAS
C503;TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA
L851;QUERATOSIS [QUERATODERMIA] PALMAR Y PLANTAR ADQUIRIDA
T818;OTRAS COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE
T784;ALERGIA NO ESPECIFICADA
N434;ESPERMATOCELE
S008;TRAUMATISMO SUPERFICIAL DE OTRAS PARTES DE LA CABEZA
R202;PARESTESIA DE LA PIEL
D760;HISTIOCITOSIS DE LAS CÉLULAS DE LANGERHANS, NO CLASIFICADA EN OTRA PARTE
E440;DESNUTRICIÓN PROTEICOCALÓRICA MODERADA
N308;OTRAS CISTITIS
L305;PITIRIASIS ALBA
F501;ANOREXIA NERVIOSA ATÍPICA
X237;CONTACTO TRAUMÁTICO CON AVISPONES, AVISPAS Y ABEJAS, EN GRANJA
P024;FETO Y RECIÉN NACIDO AFECTADOS POR PROLAPSO DEL CORDÓN UMBILICAL
L819;TRASTORNO DE LA PIGMENTACIÓN, NO ESPECIFICADO
J969;INSUFICIENCIA RESPIRATORIA, NO ESPECIFICADA
J324;PANSINUSITIS CRÓNICA
D381;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA TRÁQUEA, DE LOS BRONQUIOS Y DEL PULMÓN
Z538;PROCEDIMIENTO NO REALIZADO POR OTRAS RAZONES
O343;ATENCIÓN MATERNA POR INCOMPETENCIA DEL CUELLO UTERINO
S220;FRACTURA DE VÉRTEBRA TORÁCICA
F058;OTROS DELIRIOS
L239;DERMATITIS ALÉRGICA DE CONTACTO, DE CAUSA NO ESPECIFICADA
A499;INFECCIÓN BACTERIANA, NO ESPECIFICADA
I830;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ÚLCERA
I495;SÍNDROME DEL SENO ENFERMO
S634;RUPTURA TRAUMÁTICA DE LIGAMENTOS DEL DEDO DE LA MANO EN LA(S)ARTICULACIÓN(ES) METACARPOFALÁNGICA E INTERFALÁNGICA
E749;TRASTORNO DEL METABOLISMO DE LOS CARBOHIDRATOS, NO ESPECIFICADO
T189;CUERPO EXTRAÑO EN EL TUBO DIGESTIVO, PARTE NO ESPECIFICADA
S447;TRAUMATISMO DE MÚLTIPLES NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO
S917;HERIDAS MÚLTIPLES DEL TOBILLO Y DEL PIE
R10X;DOLOR ABDOMINAL Y PELVICO
C65X;TUMOR MALIGNO DE LA PELVIS RENAL
J302;OTRA RINITIS ALÉRGICA ESTACIONAL
I951;HIPOTENSIÓN ORTOSTÁTICA
J398;OTRAS ENFERMEDADES ESPECIFICADAS DE LAS VÍAS RESPIRATORIAS SUPERIORES
N500;ATROFIA DEL TESTÍCULO
C155;TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESÓFAGO
A38X;ESCARLATINA
L299;PRURITO, NO ESPECIFICADO
J80X;SÍNDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO
T159;CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO, SITIO NO ESPECIFICADO
S951;TRAUMATISMO DE LA ARTERIA PLANTAR DEL PIE
Z715;CONSULTA PARA ASESORÍA Y VIGILANCIA POR ABUSO DE DROGAS
C672;TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
S376;TRAUMATISMO DEL ÚTERO
O249;DIABETES MELLITUS NO ESPECIFICADA, EN EL EMBARAZO
C441;TUMOR MALIGNO DE LA PIEL DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL
T240;QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE
E210;HIPERPARATIROIDISMO PRIMARIO
M154;(OSTEO)ARTROSIS EROSIVA
N748;TRASTORNOS INFLAMATORIOS PÉLVICOS FEMENINOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
S799;TRAUMATISMO NO ESPECIFICADO DE LA CADERA Y DEL MUSLO
J014;PANSINUSITIS AGUDA
L701;ACNÉ CONGLOBADO
K659;PERITONITIS, NO ESPECIFICADA
H501;ESTRABISMO CONCOMITANTE DIVERGENTE
M229;TRASTORNO DE LA RÓTULA, NO ESPECIFICADO
O365;ATENCIÓN MATERNA POR DÉFICIT DEL CRECIMIENTO FETAL
C310;TUMOR MALIGNO DEL SENO MAXILAR
D069;CARCINOMA IN SITU DEL CUELLO DEL ÚTERO, PARTE NO ESPECIFICADA
Q690;DEDO(S) SUPERNUMERARIO(S) DE LA MANO
L028;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DE OTROS SITIOS
F339;TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO
I888;OTRAS LINFADENITIS INESPECÍFICAS
K458;OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL ESPECIFICADAS, SIN OBSTRUCCIÓN NI GANGRENA
P923;HIPOALIMENTACIÓN DEL RECIÉN NACIDO
N484;IMPOTENCIA DE ORIGEN ORGÁNICO
H104;CONJUNTIVITIS CRÓNICA
N394;OTRAS INCONTINENCIAS URINARIAS ESPECIFICADAS
F318;OTROS TRASTORNOS AFECTIVOS BIPOLARES
H527;TRASTORNO DE LA REFRACCIÓN, NO ESPECIFICADO
M540;PANICULITIS QUE AFECTA REGIONES DEL CUELLO Y DE LA ESPALDA
S620;FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO
M818;OTRAS OSTEOPOROSIS, SIN FRACTURA PATOLÓGICA
N309;CISTITIS, NO ESPECIFICADA
M791;MIALGIA
E882;LIPOMATOSIS, NO CLASIFICADA EN OTRA PARTE
A164;TUBERCULOSIS DE LARINGE, TRÁQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA
J70X;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS
H433;OTRAS OPACIDADES VÍTREAS
M679;TRASTORNO SINOVIAL Y TENDINOSO, NO ESPECIFICADO
G618;OTRAS POLINEUROPATÍAS INFLAMATORIAS
K270;ULCERA PÉPTICA, DE SITIO NO ESPECIFICADO, AGUDA CON HEMORRAGIA
S662;TRAUMATISMO DEL TENDÓN Y MÚSCULO EXTENSOR DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO
K623;PROLAPSO RECTAL
D232;TUMOR BENIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
K117;ALTERACIONES DE LA SECRECIÓN SALIVAL
D433;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS NERVIOS CRANEALES
C504;TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA
T543;ALCALIS CÁUSTICOS Y SUSTANCIAS ALCALINAS SIMILARES
J320;SINUSITIS MAXILAR CRÓNICA
R229;TUMEFACCIÓN, MASA O PROMINENCIA LOCALIZADA EN PARTE NO ESPECIFICADA
S098;OTROS TRAUMATISMOS DE LA CABEZA, ESPECIFICADOS
T099;TRAUMATISMO NO ESPECIFICADO DEL TRONCO, NIVEL NO ESPECIFICADO
M754;SÍNDROME DE ABDUCCIÓN DOLOROSA DEL HOMBRO
W571;MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTRÓPODOS NO VENENOSOS, EN INSTITUCIÓN RESIDENCIAL
H354;DEGENERACIÓN PERIFÉRICA DE LA RETINA
M340;ESCLEROSIS SISTÉMICA PROGRESIVA
H470;TRASTORNOS DEL NERVIO ÓPTICO, NO CLASIFICADOS EN OTRA PARTE
N952;VAGINITIS ATRÓFICA POSTMENOPÁUSICA
D091;CARCINOMA IN SITU DE OTROS ÓRGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
D212;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA
D759;ENFERMEDAD DE LA SANGRE Y DE LOS ÓRGANOS HEMATOPOYÉTICOS, NO ESPECIFICADA
H520;HIPERMETROPÍA
J018;OTRAS SINUSITIS AGUDAS
L669;ALOPECIA CICATRICIAL, NO ESPECIFICADA
O339;ATENCIÓN MATERNA POR DESPROPORCIÓN DE ORIGEN NO ESPECIFICADO
C469;SARCOMA DE KAPOSI, DE SITIO NO ESPECIFICADO
D293;TUMOR BENIGNO DEL EPIDÍDIMO
K020;CARIES LIMITADA AL ESMALTE
I803;FLEBITIS Y TROMBOFLEBITIS DE LOS MIEMBROS INFERIORES, NO ESPECIFICADA
J930;NEUMOTÓRAX ESPONTÁNEO A PRESIÓN
C714;TUMOR MALIGNO DEL LÓBULO OCCIPITAL
S619;HERIDA DE LA MUÑECA Y DE LA MANO, PARTE NO ESPECIFICADA
G048;OTRAS ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS
B07;VERRUGAS VÍRICAS
C66X;TUMOR MALIGNO DEL URÉTER
I251;ENFERMEDAD ATEROSCLERÓTICA DEL CORAZÓN
J21X;BRONQUIOLITIS AGUDA
M243;LUXACIÓN Y SUBLUXACIÓN PATOLÓGICA DE LA ARTICULACIÓN, NO CLASIFICADA EN OTRA PARTE
C159;TUMOR MALIGNO DEL ESÓFAGO, PARTE NO ESPECIFICADA
D334;TUMOR BENIGNO DE LA MÉDULA ESPINAL
M728;OTROS TRASTORNOS FIBROBLÁSTICOS
A91X;FIEBRE DEL DENGUE HEMORRÁGICO
Z489;CUIDADO POSTERIOR A LA CIRUGÍA, NO ESPECIFICADO
M160;COXARTROSIS PRIMARIA, BILATERAL
H335;OTROS DESPRENDIMIENTOS DE LA RETINA
L84X;CALLOS Y CALLOSIDADES
N511;TRASTORNOS DEL TESTÍCULO Y DEL EPIDÍDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G64X;OTROS TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO
L602;ONICOGRIPOSIS
D199;TUMOR BENIGNO DEL TEJIDO MESOTELIAL, DE SITIO NO ESPECIFICADO
G598;OTRAS MONONEUROPATÍAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
O150;ECLAMPSIA EN EL EMBARAZO
C481;TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO
M662;RUPTURA ESPONTÁNEA DE TENDONES EXTENSORES
H502;ESTRABISMO VERTICAL
R071;DOLOR EN EL PECHO AL RESPIRAR
H405;GLAUCOMA SECUNDARIO A OTROS TRASTORNOS DEL OJO
S433;LUXACIÓN DE OTRAS PARTES DE LA CINTURA ESCAPULAR Y DE LAS NO ESPECIFICADAS
N46;ESTERILIDAD EN EL VARÓN
I844;HEMORROIDES EXTERNAS CON OTRAS COMPLICACIONES
K148;OTRAS ENFERMEDADES DE LA LENGUA
J339;PÓLIPO NASAL, NO ESPECIFICADO
K566;OTRAS OBSTRUCCIONES INTESTINALES Y LAS NO ESPECIFICADAS
P585;ICTERICIA NEONATAL DEBIDA A DEGLUCIÓN DE SANGRE MATERNA
H602;OTITIS EXTERNA MALIGNA
L030;CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE
G430;MIGRAÑA SIN AURA [MIGRAÑA COMÚN]
Z035;OBSERVACIÓN POR SOSPECHA DE OTRAS ENFERMEDADES CARDIOVASCULARES
L110;QUERATOSIS FOLICULAR ADQUIRIDA
A084;INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN
I610;HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, SUBCORTICAL
N958;OTROS TRASTORNOS MENOPÁUSICOS Y PERIMENOPÁUSICOS ESPECIFICADOS
L923;GRANULOMA POR CUERPO EXTRAÑO EN LA PIEL Y EN EL TEJIDO SUBCUTÁNEO
L905;FIBROSIS Y AFECCIONES CICATRICIALES DE LA PIEL
K501;ENFERMEDAD DE CROHN DEL INTESTINO GRUESO
M484;FRACTURA DE VÉRTEBRA POR FATIGA
P221;TAQUIPNEA TRANSITORIA DEL RECIÉN NACIDO
Z355;SUPERVISIÓN DE PRIMIGESTA AÑOSA
L033;CELULITIS DEL TRONCO
T819;COMPLICACIÓN DE PROCEDIMIENTOS, NO ESPECIFICADA
D329;TUMOR BENIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA
Z947;TRASPLANTE DE CÓRNEA
B432;ABSCESO Y QUISTE SUBCUTÁNEO FEOMICÓTICO
G518;OTROS TRASTORNOS DEL NERVIO FACIAL
G561;OTRAS LESIONES DEL NERVIO MEDIANO
L928;OTROS TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
